image_path,description
NAGFORM_MANUAL_page_1_img_1.png,"NAGFORM's Way of Design"
NAGFORM_MANUAL_page_1_img_2.png,"NAGFORM's Way of Design"
NAGFORM_MANUAL_page_1_img_3.png,"NAGFORM's Way of Design"
NAGFORM_MANUAL_page_1_img_4.png,"NAGFORM's Way of Design"
NAGFORM_MANUAL_page_8_img_1.png,"NAGFORM Desktop Window for User Interface"
NAGFORM_MANUAL_page_11_img_1.png,"Help Menu Dialog Box"
NAGFORM_MANUAL_page_11_img_2.png,"Help Topics"
NAGFORM_MANUAL_page_11_img_3.png,"Help Topics"
NAGFORM_MANUAL_page_11_img_4.png,"Simple Calculator"
NAGFORM_MANUAL_page_12_img_1.png,"Surface Area Calculation"
NAGFORM_MANUAL_page_12_img_2.png,"Surface Area Calculation"
NAGFORM_MANUAL_page_13_img_1.png,"Various Primitives For Creating Part Model"
NAGFORM_MANUAL_page_14_img_1.png,"Created Primitives in Order of Joining to Form the Part"
NAGFORM_MANUAL_page_16_img_1.png,"Modifying a Union to Create Corner Radius, Chamfer and Fillet"
NAGFORM_MANUAL_page_17_img_1.png,"Subtraction of Primitives from a Union"
NAGFORM_MANUAL_page_17_img_2.png,"Bringing in Part and/or Part Design Template in Current File"
NAGFORM_MANUAL_page_18_img_1.png,"Display of Dimensions of a part in NAGFORM"
NAGFORM_MANUAL_page_19_img_1.png,"Assigning a Material to a Part in NAGFORM"
NAGFORM_MANUAL_page_22_img_1.png,"Progression Design Setup Dialogbox"
NAGFORM_MANUAL_page_23_img_1.png,"Forming Rules of Forward Extrusion Process of Rod or Wire"
NAGFORM_MANUAL_page_23_img_2.png,"Progression Design Rules for the Heading Process of Rod or Wire"
NAGFORM_MANUAL_page_23_img_3.png,"Second and Final Page of Progression Design Rules for the Heading Process of Rod or Wire"
NAGFORM_MANUAL_page_24_img_1.png,"Progression Design Using a Radiused Preform"
NAGFORM_MANUAL_page_24_img_2.png,"Design Rules of the Trimming Process"
NAGFORM_MANUAL_page_24_img_3.png,"Progression Design of a Double End Bolt"
NAGFORM_MANUAL_page_25_img_1.png,"Progression Design Dialog Box"
NAGFORM_MANUAL_page_26_img_1.png,"Design Summary and Machine Selection Summary"
